id,Sentence,Aspect Term,polarity,from,to,cleaned_sentence,processed_sentence,aspect_category,predicted_sentiment
3121,But the staff was so horrible to us.,staff,negative,8,13,but the staff was so horrible to us,staff horrible,service,negative
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,57,61,to be completely fair the only redeeming factor was the food which was above average but couldnt make up for all the other deficiencies of teodora,completely fair redeem factor food average not deficiency teodora,food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,4,8,the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether its on the menu or not,food uniformly exceptional capable kitchen proudly whip feel like eat menu,food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,55,62,the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether its on the menu or not,food uniformly exceptional capable kitchen proudly whip feel like eat menu,food,positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral,141,145,the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether its on the menu or not,food uniformly exceptional capable kitchen proudly whip feel like eat menu,food,positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",food,positive,17,21,not only was the food outstanding but the little perks were great,food outstanding little perk great,food,positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",perks,positive,51,56,not only was the food outstanding but the little perks were great,food outstanding little perk great,others,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,27,62,our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats,agree favorite orrechiete sausage chicken usually waiter kind split dish half sample meat,food,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,76,83,our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats,agree favorite orrechiete sausage chicken usually waiter kind split dish half sample meat,service,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,152,157,our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats,agree favorite orrechiete sausage chicken usually waiter kind split dish half sample meat,food,positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,113,117,our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats,agree favorite orrechiete sausage chicken usually waiter kind split dish half sample meat,food,positive
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,4,10,the bagels have an outstanding taste with a terrific texture both chewy yet not gummy,bagel outstanding taste terrific texture chewy gummy,food,positive
2391,Nevertheless the food itself is pretty good.,food,positive,17,21,nevertheless the food itself is pretty good,food pretty good,food,positive
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,41,46,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,others,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,18,28,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,others,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,126,131,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,food,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,73,79,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,food,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,57,68,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,food,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,170,175,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,food,neutral
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,86,92,they did not have mayonnaise forgot our toast left out ingredients ie cheese in an omelet below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,mayonnaise forget toast leave ingredient ie cheese omelet hot temperature bacon cook crumble plate touch,food,neutral
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,82,88,it took half an hour to get our check which was perfect since we could sit have drinks and talk,take half hour check perfect sit drink talk,food,positive
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,32,37,it took half an hour to get our check which was perfect since we could sit have drinks and talk,take half hour check perfect sit drink talk,service,positive
2200,The design and atmosphere is just as good.,design,positive,4,10,the design and atmosphere is just as good,design atmosphere good,ambience,positive
2200,The design and atmosphere is just as good.,atmosphere,positive,15,25,the design and atmosphere is just as good,design atmosphere good,ambience,positive
3195,He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,51,58,he has visited thailand and is quite expert on the cuisine,visit thailand expert cuisine,food,neutral
3359,The pizza is the best if you like thin crusted pizza.,pizza,positive,4,9,the pizza is the best if you like thin crusted pizza,pizza good like thin crust pizza,food,positive
3359,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,34,52,the pizza is the best if you like thin crusted pizza,pizza good like thin crust pizza,food,positive
3534,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,28,47,all the money went into the interior decoration none of it went to the chefs,money go interior decoration go chef,ambience,neutral
3534,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,72,77,all the money went into the interior decoration none of it went to the chefs,money go interior decoration go chef,service,neutral
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,4,9,the seats are uncomfortable if you are sitting against the wall on wooden benches,seat uncomfortable sit wall wooden bench,food,negative
565,"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,12,29,i asked for seltzer with lime no ice,ask seltzer lime ice,others,negative
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,77,84,dont go aloneeven two people isnt enough for the whole experience with pickles and a selection of meats and seafoods,not aloneeven people not experience pickle selection meat seafood,food,neutral
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,91,122,dont go aloneeven two people isnt enough for the whole experience with pickles and a selection of meats and seafoods,not aloneeven people not experience pickle selection meat seafood,food,neutral
2227,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,74,80,my suggestion is to eat family style because youll want to try the other dishes,suggestion eat family style ll want try dish,food,positive
2227,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,20,36,my suggestion is to eat family style because youll want to try the other dishes,suggestion eat family style ll want try dish,others,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,24,28,best of all is the warm vibe the owner is super friendly and service is fast,good warm vibe owner super friendly service fast,ambience,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,34,39,best of all is the warm vibe the owner is super friendly and service is fast,good warm vibe owner super friendly service fast,service,positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,62,69,best of all is the warm vibe the owner is super friendly and service is fast,good warm vibe owner super friendly service fast,service,positive
2191,Faan's got a great concept but a little rough on the delivery.,delivery,negative,53,61,faans got a great concept but a little rough on the delivery,faan get great concept little rough delivery,service,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,20,24,from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesnt miss a beat,incredible food warm atmosphere friendly service downtown neighborhood spot not miss beat,food,positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,38,48,from the incredible food to the warm atmosphere to the friendly service this downtown neighborhood spot doesnt miss a beat,incredible food warm atmosphere friendly service downtown neighborhood spot not miss beat,ambience,positive
